Product Name,Brand,Category,Price_AED,Age_Group,Description
DreamSoft Newborn Diapers Pack 48,Pampers,Baby Essentials,49,0-3 months,Soft absorbent diapers for newborn skin
PureCare Baby Wipes 80s,Huggies,Baby Essentials,19,0+ months,Gentle fragrance-free baby wipes
TenderWash Baby Shampoo 250ml,Johnson's,Baby Essentials,27,0+ months,No-tears shampoo for daily use
CalmSkin Baby Lotion 300ml,Sebamed,Baby Essentials,38,0+ months,Moisturizing lotion for sensitive skin
EasyFeed Anti-Colic Bottle 260ml,Philips Avent,Baby Essentials,45,0+ months,Anti-colic feeding bottle BPA free
SnugSleep Swaddle Set 2pc,Tommee Tippee,Baby Essentials,59,0-6 months,Breathable cotton swaddle wraps
BabyGuard Digital Thermometer,Chicco,Baby Essentials,35,0+ months,Fast reading digital thermometer
SoftNest Pacifier Twin Pack,NUK,Baby Essentials,29,0-6 months,Orthodontic silicone pacifiers
CleanAir Nasal Aspirator,Pigeon,Baby Essentials,32,0+ months,Gentle nasal cleaner for babies
UltraDry Diapers Mega Pack 72,MamyPoko,Baby Essentials,79,6-12 months,High absorbency diaper pack
LiteGo Travel Stroller,Chicco,Travel,299,0-3 yrs,Lightweight foldable stroller for travel
UrbanRide Compact Stroller,Joie,Travel,449,0-4 yrs,Compact stroller with reclining seat
SafeNest Infant Car Seat,Graco,Travel,399,0-12 months,Rear-facing infant car seat with padding
MoveEasy Baby Carrier,Ergobaby,Travel,529,0-2 yrs,Ergonomic front and back baby carrier
RoadGuard Booster Seat,Evenflo,Travel,259,4-8 yrs,Secure booster seat for growing kids
TravelMate Diaper Bag,Skip Hop,Travel,149,0+ months,Large organizer bag with bottle pockets
FoldMini Cabin Stroller,Babyzen,Travel,899,6 months-4 yrs,Premium cabin-size stroller
SunShade Car Window Set,Munchkin,Travel,49,0+ months,UV sun shades for car windows
StepUp Travel Cot,Hauck,Travel,349,0-3 yrs,Portable baby cot with carry bag
RainCover Universal Stroller Shield,Diono,Travel,69,0+ months,Universal rain cover for strollers
StackSmart Building Blocks 50pc,LEGO DUPLO,Toys,119,18+ months,Large blocks for early creativity
CuddleBear Plush Toy,Fisher-Price,Toys,59,0+ months,Soft plush teddy for comfort
LearnWalk Activity Walker,VTech,Toys,199,9-24 months,Walker with music and learning panel
ColorFun Shape Sorter,Chicco,Toys,79,12+ months,Shape sorting toy for motor skills
MiniChef Play Kitchen Set,Little Tikes,Toys,249,3-6 yrs,Pretend play kitchen set
FirstPuzzle Animals 6pc,Melissa & Doug,Toys,69,2-4 yrs,Wooden animal puzzle set
BounceBuddy Hopper Ball,Playskool,Toys,89,3-6 yrs,Indoor active play hopper ball
Melody Keys Piano Mat,Winfun,Toys,99,2-5 yrs,Floor piano mat with sounds
STEM Gears Builder Kit,Learning Resources,Toys,159,4-8 yrs,Intro STEM gear building set
BathSplash Duck Set 5pc,Nuby,Toys,39,6+ months,Floating bath toys set
Comfort High Chair,Joie,Feeding,329,6 months-3 yrs,Adjustable high chair with tray
FreshStart Bottle Sterilizer,Philips Avent,Feeding,279,0+ months,Steam sterilizer for bottles
QuickWarm Bottle Warmer,Tommee Tippee,Feeding,189,0+ months,Fast bottle warmer for feeds
SoftSip Sippy Cup 2pk,Munchkin,Feeding,45,6+ months,Leak-proof training cups
TinyTaste Bowl Spoon Set,Nuby,Feeding,35,6+ months,Baby bowl and soft spoon set
EasyClean Silicone Bib,OXO Tot,Feeding,39,6+ months,Roll-up bib with crumb catcher
SnackGo Divider Box,Skip Hop,Feeding,55,12+ months,Snack container with compartments
FirstFork Spoon Set,Pigeon,Feeding,25,12+ months,Toddler training cutlery set
SmartBlend Baby Food Maker,Béaba,Feeding,549,6+ months,Steam blend machine for baby meals
GrowSeat Booster Chair,Ingenuity,Feeding,149,12+ months,Portable booster feeding seat
CloudRest Maternity Pillow,Mothercare,Mom Care,129,Pregnancy,Full body support pillow
PureFlow Breast Pump Manual,Medela,Mom Care,199,Postpartum,Manual breast pump compact design
Comfort Nursing Cover,Aden + Anais,Mom Care,79,Postpartum,Breathable nursing cover scarf style
Recovery Care Kit,Lansinoh,Mom Care,159,Postpartum,Essentials kit for new moms
HydraMama Water Bottle 1L,Contigo,Mom Care,65,Pregnancy,Large insulated hydration bottle
RelaxFeet Compression Socks,Mamaway,Mom Care,49,Pregnancy,Support socks for swelling relief
SkinGlow Stretch Mark Cream,Palmer's,Mom Care,58,Pregnancy,Nourishing stretch mark cream
HandsFree Breast Pump Electric,Elvie,Mom Care,1299,Postpartum,Wearable electric breast pump
WarmCool Therapy Pads,Frida Mom,Mom Care,89,Postpartum,Hot cold therapy pads for nursing moms
OrganizeMe Nursery Caddy,Skip Hop,Mom Care,99,Pregnancy/Postpartum,Portable storage caddy for essentials
